,accuracy,roc_auc,precision,recall
Fold 1,0.8026785714285715,0.8986631016042781,0.6763285024154589,0.9545454545454546
Fold 2,0.5794642857142858,0.6272491071277442,0.8126064735945485,0.5692124105011933
Fold 3,0.6946428571428571,0.7676032258064517,0.6023316062176166,0.93
Fold 4,0.7276785714285714,0.8343819444444445,0.7344632768361582,0.9027777777777778
Fold 5,0.8723214285714286,0.9002730758101851,0.9010011123470523,0.9375
Mean,0.7353571428571428,0.8056340909586208,0.7453461942821669,0.8588071285648852
Std,0.09930819375529279,0.1016906313443391,0.1040071639580498,0.14575687890596076
