Date,GSPC,VIX,SPY Volume,GDP,Core Inflation,Unemployment Rate,M2 Money Stock,Return,Return_5d,Return_20d,Return_Smooth,RSI_14,MACD_Line,MACD_Signal,MACD_Hist,GDP_YoY,Core_Inflation_YoY,M2_YoY,Peak,Drawdown,VIX_Change,VIX_Change_5d,Regime
1997-12-03,976.77001953125,23.920000076293945,3302500,12577.495,72.036,4.7,3992.3,0.0052383777517657,0.0272922445963872,0.0382775728047755,0.0015266516096035,61.49591243793353,8.545911154255691,4.035899046126459,4.510012108129232,0.065154630619217,0.0217147720019856,0.0682882448957749,983.1199951171876,-0.0064590035982135,-1.739999771118164,-5.030000686645508,
1997-12-04,973.0999755859376,23.84000015258789,2872500,12577.495,72.036,4.7,3992.3,-0.0037573265681041,0.0225505029288075,0.0321820670223966,0.0008467327049689,59.71759639078978,9.175511542276809,5.063821545356529,4.11168999692028,0.065154630619217,0.0217147720019856,0.0682882448957749,983.1199951171876,-0.0101920615804946,-0.0799999237060546,-5.1100006103515625,
1997-12-05,983.7899780273438,22.649999618530273,3458800,12577.495,72.036,4.7,3992.3,0.0109855130095644,0.0297152531796225,0.0487830317807302,0.0007291207304328,63.06771440601498,10.41698769297784,6.134454774880791,4.28253291809705,0.065154630619217,0.0217147720019856,0.0682882448957749,983.7899780273438,0.0,-1.1900005340576172,-4.780000686645508,
1997-12-08,982.3699951171876,23.219999313354492,2289200,12577.495,72.036,4.7,3992.3,-0.0014433801338405,0.0077966858168168,0.0591475938523027,0.0003832792093245,62.32622398934933,11.157667092369593,7.139097238378552,4.018569853991041,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0014433801338405,0.5699996948242188,-2.790000915527344,
1997-12-09,975.780029296875,23.36000061035156,1703000,12577.495,72.036,4.7,3992.3,-0.0067082319829266,0.0042195338506489,0.059329328242885,0.0011013817646341,58.86717755831891,11.085123284661677,7.928302447635177,3.1568208370264994,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0081419295879898,0.1400012969970667,-2.2999992370605504,
1997-12-10,969.7899780273438,24.549999237060547,3558400,12577.495,72.036,4.7,3992.3,-0.0061387311583406,-0.0071460439656573,0.0498061738415027,-0.000874723921144,55.83387715354963,10.424121929091257,8.427466343926394,1.9966555851648629,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0142306796294796,1.189998626708988,0.6299991607666016,
1997-12-11,954.9400024414062,27.6299991607666,5072800,12577.495,72.036,4.7,3992.3,-0.0153125686204181,-0.0186619808859789,0.0540641742249288,-0.0022993583996973,49.081729230054435,8.60283652480507,8.46254038010213,0.1402961447029405,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0293253399915562,3.0799999237060547,3.789999008178711,
1997-12-12,953.3900146484376,27.920000076293945,4478400,12577.495,72.036,4.7,3992.3,-0.001623125839326,-0.0309008671137949,0.0400694287740162,-0.0044886031295304,48.42348445551171,6.954219742807709,8.160876252643247,-1.206656509835538,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0309008671137948,0.2900009155273437,5.270000457763672,
1997-12-15,963.3900146484376,27.3700008392334,4674700,12577.495,72.036,4.7,3992.3,0.0104888868630406,-0.0193206027902815,0.0377444282695047,-0.0057768234155866,52.81975269751689,6.381038848162461,7.80490877174709,-1.423869923584629,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0207360959498808,-0.5499992370605469,4.150001525878906,
1997-12-16,968.0399780273438,26.11000061035156,2885800,12577.495,72.036,4.7,3992.3,0.0048266676093824,-0.0079321681497299,0.0230817644668703,-0.0038338503866271,54.751159923452995,6.230184355824235,7.48996388856252,-1.2597795327382846,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0160095145831646,-1.2600002288818395,2.75,
1997-12-17,965.5399780273438,26.329999923706055,2236300,12577.495,72.036,4.7,3992.3,-0.0025825379702751,-0.0043823921635537,0.029107999240175,-0.0036023066279363,53.4834832970762,5.841564062900147,7.160283923430046,-1.3187198605298986,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0185507073741431,0.2199993133544957,1.7800006866455078,
1997-12-18,955.2999877929688,27.190000534057617,4658300,12577.495,72.036,4.7,3992.3,-0.0106054544269579,0.0003769716952291,0.0113382108989159,-0.0024229982571661,48.5273192147242,4.65365362595378,6.658957863934793,-2.0053042379810133,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0289594231194568,0.8600006103515625,-0.4399986267089844,
1997-12-19,946.780029296875,29.18000030517578,8556000,12577.495,72.036,4.7,3992.3,-0.0089186209619633,-0.0069331388518895,-0.0127217996416481,-0.001091503177802,44.806887099926456,2.9902666671084717,5.925219624569529,-2.934952957461057,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0376197659633406,1.989999771118164,1.260000228881836,
1997-12-22,953.7000122070312,28.559999465942383,5136800,12577.495,72.036,4.7,3992.3,0.0073089658590448,-0.0100582342499599,-0.0097498825515786,0.0006405655087108,48.27549832792802,2.204987582018589,5.181173216059341,-2.9761856340407524,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0305857616893472,-0.6200008392333984,1.1899986267089844,
1997-12-23,939.1300048828124,29.86000061035156,4436500,12577.495,72.036,4.7,3992.3,-0.0152773483671256,-0.0298644413461556,-0.0079647376207759,0.0019119485407563,42.254322484235395,0.402332585420595,4.225405089931592,-3.823072504510997,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0453958407200709,1.300001144409176,3.75,
1997-12-24,932.7000122070312,30.270000457763672,2019200,12577.495,72.036,4.7,3992.3,-0.006846754594518,-0.0340120208045725,-0.0190572295256812,0.0036586090737368,39.88975709536117,-1.5275228257703477,3.0748195067912043,-4.602342332561552,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0519317811335667,0.4099998474121129,3.940000534057617,
1997-12-26,936.4600219726562,29.270000457763672,941800,12577.495,72.036,4.7,3992.3,0.0040313173758064,-0.0197215179117069,-0.0159514022551786,0.0020165468620368,41.93596872497432,-2.722166339550654,1.9154223375228328,-4.637588677073486,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0481098172494007,-1.0,2.0799999237060547,
1997-12-29,953.3499755859376,26.790000915527344,2080000,12577.495,72.036,4.7,3992.3,0.0180359579875097,0.0069392531377554,-0.0021457491895942,-0.0002118224527565,50.14569860293667,-2.2797720368711225,1.0763834626440418,-3.356155499515165,0.05568478192536,0.0217147720019856,0.0682882448957749,983.7899780273438,-0.0309415659045879,-2.479999542236328,-2.3899993896484375,
