,accuracy,roc_auc,precision,recall
Fold 1,0.7044642857142858,0.8387165775401071,0.5766526019690577,0.9318181818181818
Fold 2,0.51875,0.6291110208365072,0.8568019093078759,0.42840095465393796
Fold 3,0.7089285714285715,0.8260806451612904,0.6090225563909775,0.972
Fold 4,0.71875,0.8010798611111111,0.870201096892139,0.6611111111111111
Fold 5,0.7633928571428571,0.7969292534722223,0.8795944233206591,0.8032407407407407
Mean,0.6828571428571429,0.7783834716242476,0.7584545175761418,0.7593141976647942
Std,0.08467826263726307,0.0762318053271042,0.1358059142711406,0.1980251685311731
