,accuracy,roc_auc,precision,recall
Fold 1,0.38082437275985664,0.5940555828407877,0.38245931283905965,0.9814385150812065
Fold 2,0.3942652329749104,0.3071085147929965,0.6473029045643154,0.38141809290953543
Fold 3,0.5689964157706093,0.5461623376623377,0.5174953959484346,0.562
Fold 4,0.3548387096774194,0.5201739618406285,0.0,0.0
Fold 5,0.6218637992831542,0.4160734212384141,0.7393675027262814,0.7874564459930313
Mean,0.46415770609319,0.47671476367503296,0.4573250232156182,0.5424626107967547
Std,0.10921759207788188,0.10288263930591944,0.2584612469421368,0.3386161703927826
