,accuracy,roc_auc,precision,recall
Fold 1,0.7910714285714285,0.8908923796791444,0.7754010695187166,0.6590909090909091
Fold 2,0.5803571428571429,0.5625349108820392,0.8665338645418327,0.5190930787589498
Fold 3,0.7383928571428572,0.8404129032258064,0.6986564299424184,0.728
Fold 4,0.5232142857142857,0.7080868055555556,0.8444444444444444,0.31666666666666665
Fold 5,0.8526785714285714,0.8748779296875,0.8794788273615635,0.9375
Mean,0.6971428571428572,0.7753609858060091,0.8129029271617952,0.6320701309033051
Std,0.1253838494140196,0.1243411681991827,0.06747169287596314,0.2075876811079587
