,accuracy,roc_auc,precision,recall
Fold 1,0.38461538461538464,0.5939159292035399,0.38122605363984674,0.9045454545454545
Fold 2,0.4821109123434705,0.36761619190404804,0.6546583850931676,0.6364734299516909
Fold 3,0.5805008944543828,0.6687961165048544,0.5172413793103449,0.93
Fold 4,0.5617173524150268,0.49042783361250697,0.6558265582655827,0.6722222222222223
Fold 5,0.5670840787119857,0.4931588394338037,0.7726618705035971,0.6222479721900348
Mean,0.5152057245080501,0.5227829821317506,0.5963228493625079,0.7530978157818806
Std,0.07384748858191081,0.10235322156574703,0.13458059809271905,0.13527347163439693
